Scheme ,Subject,Abbreviation,Semester
A,Maths,DE & LA,1
A,Physics,PHY,1
A,EVS,EVS,1
A,SCLS,SCLS,1
A,Physics Lab,PHY-(L),1
A,C Lab,C-(L),1
A,Eng Drawing..,ED,1
A,Opt Tech,OT,1
A,Public Health,SPH,1
A,Smart Materials,SM,1
A,Nanoscience,NANO,1
A,Molecular Diagnotics,Mol-Diag,1
A,Biomedical Eng,BIOM,1
A,Basic Mechanical Eng,BME,1
A,Basic Instrumentaion,BI,1
A,Basic Civil Eng,BCE,1
,,,
,,,
,,,
B,Chemistry,CHEM,2
B,Maths,T&NM,2
B,English,ENG,2
B,Electronics,BETC,2
B,Electrical,BEE,2
B,Chem Lab,Chem-(L),2
B,BEE Lab,BEE-(L),2
B,BEtc Lab,BETC-(L),2
B,Workshop,Workshop,2
B,Yoga,Yoga,2
B,Comm Lab,Comm-(L),2
B,"Society, Science, and Tech",SST,2
B,"Creativity, Innovation & Entrepreneurship
",CIE,2
B,Community/Environment-based Project,CEP,2
B,Essential of Management,EOM,2